		2019-01-02	Środa	Pływanie	60	90									1800	Technika	Bardzo lekko czuję lewą stopę, po fizjo już prawie nic, dobre czucie wody, Rehabilitacja #8 	https://connect.garmin.com/modern/activity/3265563664
		2019-01-03	Czwartek	Siłownia	75	40										Core + ręce	Czuję lewą stopę, znacznie gorzej po wczorajszej wizycie		
		2019-01-04	Piątek	Skitury	300	60								   	16,6	Turbacz	Lekko czuję lewą stopę, po skiturach znacznie gorzej, na drugi dzień źle	https://connect.garmin.com/modern/activity/3272207761	https://www.strava.com/activities/2055545966
		2019-01-05	Sobota	Pływanie	50	40									1700	Technika	Czuję lewą stopę, rano jest kiepsko, pod koniec dnia prawie nie czuję, dobre czucie wody	https://connect.garmin.com/modern/activity/3274847618	
		2019-01-06	Niedziela	Bieganie	30	45	127	131					2	06:09	5	Test nogi #2	Rano lekko czuję lewą stopę, na bieganiu od 3 kilometra czuje, po bieganiu źle, na drugi dzień bardzo źle	https://connect.garmin.com/modern/activity/3276824643	
		2019-01-08	Wtorek	Pływanie	60	140									1700	Technika	W poniedziałek Rehabilitacja #9 - igły, czuję mocno lewą stopę przy każdym kroku, po rehabilitacji jeszcze gorzej, we wtorek troszeczkę lepiej, ale czuję przy każdym kroku	https://connect.garmin.com/modern/activity/3283313552
		2019-01-09	Środa	Pływanie	60	80									1800	Technika	Bardzo dobre czucie wody, cały czas czuję lewą stopę, przy każdym kroku, nie jest wcale lepiej dziś mocniej czuję kaletki i nadal czasami czuję pieczenie na końcu pięty	https://connect.garmin.com/modern/activity/3286167791	
		2019-01-10	Czwartek	Siłownia	75	130										Core + ręce	Czuję lewą stopę cały dzień, Fizjoterapia #10 - igły, nadal czuję czasami pieczenie na końcu pięty		
		2019-01-12	Sobota	Skitury	60	90										Tatry Słowackie - szkolenie	Dzień wcześniej wieczorem już dużo lepiej, a po szkoleniu znowu tak samo, jak 2 dni temu	https://connect.garmin.com/modern/activity/3297560493	
		2019-01-13	Niedziela	Skitury	180	80										Tatry Słowackie - szkolenie	Po 4km czuję stopę przy każdym kroku, po wycieczce mocno czuję stopę, po przyjeździe do domu troszkę lepiej, wieczorem znowu mocno czuję	https://connect.garmin.com/modern/activity/3297560682	
		2019-01-14	Poniedziałek	Siłownia	90	45										Core + nogi 4x (przysiady 20*20kg ketle, wykroki (10*20kg), pośladki, uda(15x50kg), krzesełko)	Cały dzień mocno czuję stopę przy każdym kroku, pod koniec dnia po rolowaniu dużo lepiej
		2019-01-15	Wtorek	Pływanie	50	110									1600	Technika	Słabe czucie wody, Fizjoterapia #11 - igły, dosyć mocno czuję stopę, delikatnie lepiej niż wczoraj	https://connect.garmin.com/modern/activity/3301434062	
		2019-01-17	Czwartek	Pływanie	60	50									2000	Technika	Bardzo dobre czucie wody, ze stopą troszkę lepiej, mniej czuję na basenie niż ostatnio	https://connect.garmin.com/modern/activity/3307352198	
		2019-01-17	Czwartek	Siłownia	70											Core + ręce	Pod koniec czuję stopę mocniej		
