		2021-01-01	Piątek	Bieganie	50	20	143	151					89	04:50	10.1	Tlen	Niższe tętno niż ostatnio, bardzo delikatnie czuję stopę podczas biegania	https://connect.garmin.com/modern/activity/6035878054
		2021-01-02	Sobota	Skitury	160		136	170					1405		15,3	Jaworzyna x 3		https://connect.garmin.com/modern/activity/6041523141	https://www.strava.com/activities/4554614453
		2021-01-03	Niedziela	Siłownia	90	20										Nogi + core	Naderwałem mięsień czworogłowy w lewym udzie		
		2021-01-04	Poniedziałek	Siłownia	70	15										Ręce + core
		2021-01-05	Wtorek	Siłownia	40											Core			
		2021-01-06	Środa	Skitury	120	30	157	174					1485		12	Śnieżnica x 5	Nie czuję uda ani kostki, wieczorem znacznie gorzej z kostką	https://connect.garmin.com/modern/activity/6063899273	https://www.strava.com/activities/4576918958
		2021-01-07	Czwartek	Bieganie	45	10	142	148					10	04:44	9,4	Tlen 12-14km	Niższe tętno niż ostatnio, pod koniec czuję udo, nie czuję kostki podczas biegania, wieczorem gorzej z kostką	https://connect.garmin.com/modern/activity/6068996411	
		2021-01-08	Piątek	Skitury	120		149	169					1354		11.5	Śnieżnica x 5	Dużo niższe tętno niż ostatnio, nie czuję uda ani kostki, wieczorem znacznie gorzej z udem	https://connect.garmin.com/modern/activity/6074060257	https://www.strava.com/activities/4587143350
		2021-01-09	Sobota	Bieganie	75	15	141	147					15	04:41	15,3	Tlen - 12-15km	Niższe tętno po skiturach, Delikatnie czuję kostkę, nie czuję uda		
		2021-01-10	Niedziela	Bieganie	70	30	146	161					295	05:17	12.3	Tlen Lasek	Dosyć wysokie tętno, Lekko czuję kostkę pod koniec, nie czuję uda		
		2021-01-10	Niedziela	Siłownia	30											Core			
		2021-01-11	Poniedziałek	Rower	65	10	140	174	81	263		60	75	30	31	Big ring intervals - 11x1min	Czujnik mocy źle zamontowany	https://connect.garmin.com/modern/activity/6090219462	https://www.strava.com/activities/4603421493
		2021-01-12	Wtorek	Siłownia	90											Nogi + core	Bardzo delikatnie czuję udo		
		2021-01-13	Środa	Bieganie	65	15	145	172					201	05:09	11.9	Siła biegowa	Śnieg, Lekko czuję kostkę podczas ćwiczeń, na biegu jest ok, udo przestało boleć	https://connect.garmin.com/modern/activity/6101049953	
		2021-01-14	Czwartek	Bieganie	65	30	151	170					285	05:15	11.8	Tlen lasek	Śnieg, Lekko czuję kostkę	https://connect.garmin.com/modern/activity/6105813755	
