		2023-01-02	Poniedziałek	Bieganie	60	90	149	179					7	04:38	11.4	bs 3km+ rytmy (najlepiej stadion) 4x200/200+ 2x400(tempo 3.10-20)/400 w truchcie+1x800(tempo 3.20-25)/400 w truchcie+2x400/400+2-4x200/200+2km schłodzenia, REHABILITACJA - pachwina	Bardzo wysokie tętno, ale trzymam tempo, 200m w 35s, 400m w 1:16
		2023-01-03	Wtorek	Siłownia	80	130										Nogi + ręce + łydki		
		2023-01-04	Środa	Bieganie	90	30	154	172					525	05:29	10.4	Kopiec x 7	Z kostką dzisiaj bardzo dobrze, czuję prawego Achillesa 	
		2023-01-05	Czwartek	Siłownia	80											Nogi + ręce + core + łydki		
		2023-01-07	Sobota	Bieganie	55	40	151	164					10	04:33	10.7	BS 3km+6km w II zakresie+1km truchtu	Nie czuję już stopy, czuję prawego Achillesa, cały czas czuję biodro 	
		2023-01-08	Niedziela 	Narty	45	60									11,2	Myślenice x 11		
		2023-01-09	Poniedziałek	Bieganie	70	90	147	168					300	05:34	8,5	Kopiec x 4	Czuję prawego Achillesa, REHABILITACJA - biodro
		2023-01-09	Poniedziałek	Siłownia	60	120										Nogi + ręce		
		2023-01-11	Środa	Skitury 	270	130	126	166					1532		20,8	Kasprowy x 2 z Anią	lekko czuję prawego Achillesa	
		2023-01-12	Czwartek	Siłownia	30	60										Dynamika	dalej lekko czuję prawego Achillesa, odpuściłem bieganie, REHABILITACJA - biodro	
		2023-01-13	Piątek	Bieganie	60		154	167					11	04:22	12.3	BS 2km+ 5km(tempo progowe, na tętno 163-165)+1km BS+3km( na tetno 163-165)+1-2km truchtu	Mega wysokie tętno, 5km/162/3:56, 3km/162/3:53, lekko czuję prawego Achillesa, po bieganiu czuję mocniej biodro	
		2023-01-13	Piątek	Siłownia	70	60										Nogi + ręce		
		2023-01-14	Sobota	Skitury 	170	20	136	166					1620		19,2	Małe Ciche x 8	lekko czuję prawego Achillesa, nadal czuję biodro	
		2023-01-15	Niedziela	Bieganie	60	140	141	146					10	04:45	11.6	Tlen 140	Trochę czuję prawego Achillesa, lewa stopa bardzo dobrze po skiturach, nadal czuję biodro, wieczorem czuję ukłucie w lewej kostce po zewnętrznej stronie - impuls nerwowy bardzo nieprzyjemny	
		2023-01-16	Poniedziałek	Bieganie	55	60	149	177					6	04:23	10.9	BS 3km+10x400(1.08-12)/400 truchtu+1-2km BS	interwały po 1'16, REHABILITACJA - biodro, po treningu czuję biodro, z łydkami dużo lepiej, delikatnie czuję lekkie ukłucie tak jak wczoraj
		2023-01-16	Poniedziałek	Siłownia	60	30										Ręce + core		
		2023-01-18	Środa	Bieganie	60	120	159	176					6	04:12	12.6	BS 3km+3x3km(tempo 3.40)/2min odpoczynku+1-2kmBS	Bardzo mocny wiatr, przeziębiony, z biodrem dużo lepiej, z kostkami też lepiej, troszkę czuję Achillesa	
		2023-01-18	Środa	Siłownia	65	30										Ręce + core + łydki + pośladki 	przeziębiony, delikatnie czuję prawego Achillesa	
		2023-01-19	Czwartek	Bieganie	50	60	139	144					8	04:54	9.2	Tlen 140	REHABILITACJA - biodro, Przeziębiony, nadal czuję ten nerw w lepiej kostce podczas rozciągania Achillesa	
		2023-01-20	Piątek	Siłownia	70	30										Ręce + łydki + pośladki	Przeziębiony, nadal czuję ten nerw w lepiej kostce podczas rozciągania Achillesa	
		2023-01-21	Sobota	Skitury 	190	30	146	165					1846		22,2	Małe Ciche x 9	przeziębiony	
		2023-01-22	Niedziela	Bieganie	95	40	144	165					509	05:36	13,4	Tlen po Lasku	przeziębiony, niskie tętno, bardzo ślisko, dużo śniegu, Pod koniec już czuję kostkę, nadal czuję ten nerw w lepiej kostce podczas rozciągania Achillesa	
		2023-01-22	Niedziela	Pływanie	45										1100	Technika (czucie wody + 6x25nogi) 		
		2023-01-23	Poniedziałek	Bieganie	60	60	136	142					8	04:47	11.3	Regeneracja 	przeziębiony, REHABILITACJA - nerw w stopie, delikatnie czuję lekkie ukłucie tak jak wczoraj
		2023-01-24	Wtorek	Bieganie	55	130	146	175					6	04:30	10.2	rozruch 3km i interwały 400-600-800-800-600-400/ na przerwach 1-1,5min, tempo na 800 około 3.30-35, na innych odcinkach czut szybciej	przeziębiony	
		2023-01-25	Środa	Siłownia	75	30										Ręce + łydki + pośladki 	przeziębiony	
		2023-01-26	Czwartek	Bieganie	70	10	152	176					6	04:24	14.1	BS 2-3km + 4x2km( tempo 3.30-40)/2-3min odpoczynku+2-3km 	Przeziębiony, Mocny trening, końcówki interwałów już męczyłem 	
		2023-01-27	Piątek	Siłownia	70	30										Ręce + łydki + pośladki	przeziębiony, REHABILITACJA - nerw w stopie, delikatnie czuję lekkie ukłucie tak jak wczoraj	
		2023-01-28	Sobota	Bieganie	100	40	149	168					516	05:22	14,7	Podbiegi po Lasku	Przeziębiony, Trochę czuję kostkę, zwłaszcza pod koniec, wieczorem czuję kostkę bardziej	
		2023-01-30	Poniedziałek	Bieganie	80	20	149	178					0	04:37	14,3	BS 3km+ 4x200/200+3-4x1km(tempo 3.23-25)/2 min odpoczynku+4x400(1min 10-12sek)/400(truchtu +1-2km BS	Przeziębiony, Bardzo mocny wiatr, zimno, śnieżyca, bardzo ciężki trening. 200m@33s, 1km@3:25, 400m@1'13,nadal czuję ten nerw w lepiej kostce podczas rozciągania Achillesa
		2023-01-31	Wtorek	Bieganie	75	180	145	149					12	04:32	15,2	Tlen	Czuję biodro całe bieganie, REHABILITACJA - stopa + biodro	
		2023-02-01	Środa	Skitury 	215	40	127	161					1533		14,3	Pilsko z Anią		
		2023-02-02	Czwartek	Skitury 	170	40	126	157					1234		11,7	Śnieżnica z Anią 		
		2023-02-03	Piątek	Skitury 	170	40	125	162					1138		13,7	Obidowiec + 2x Koninki		
		2023-02-04	Sobota	Bieganie	65	30	151	162					15	04:10	13,6	BS 2km+8km w II zakresie (tempo 3.55-4min)+1-2km BS	Od 9km czuję biodro od strony pośladka, po bieganiu mocno czuję lewego Achillesa	
		2023-02-06	Poniedziałek 	Narty	110										26,5	Tonale z Szymkiem i dziećmi
		2023-02-06	Poniedziałek 	Bieganie	55	30	142	163					211	04:56	9,6	Po górkach na wysokości 1900m	Czuję od połowy mocno lewą łydkę w okolicach Achillesa	
		2023-02-07	Wtorek	Skitury 	145	40	142	160					1148		12,4	Passo Contrabbandieri 		
		2023-02-07	Wtorek 	Narty	45								132		9,8	Tonale z Natalką 		
		2023-02-08	Środa	Narty	55										12,1	Tonale z Natalką 		
		2023-02-08	Środa	Skitury 	125	40	143	164					1076		11,6	Monte Tonale 		
		2023-02-09	Czwartek	Narty	70										17,9	Tonale z dziećmi		
		2023-02-09	Czwartek 	Skitury 	145	50	136	159					1197		14,4	Passo Contrabbandieri x3		
		2023-02-10	Piątek	Narty	120	30									32,2	Tonale z dziećmi		
		2023-02-11	Sobota	Narty	60										22,3	Tonale sam		
