		2024-01-02	Wtorek	Rower	115	40	150	174	91	260		107	836	28,1	52	Wytrzymałość siłowa 10*7min	Przeziębiony, pierwszy raz nie czuję kolana, dzisiaj mniej mocy w lewej nodze, balans 46/54. Po treningu czuję kolano po wewnętrznej stronie.
		2024-01-03	Środa	Siłownia	75	90										Nogi	Od rana czuję kolano po wewnętrznej stronie, po ćwiczeniach wcale nie jest lepiej. Rehabilitacja	
		2024-01-04	Czwartek	Siłownia	70	140										Rehab nogi + ręce	Nadal czuję kolano po wewnętrznej stronie koło blizny	
		2024-01-05	Piątek	Pływanie	45	60									1100	Technika + 10 x 25nn	Nadal czuję kolano po wewnętrznej stronie, wcale nie jest lepiej niż wczoraj. Po basenie gorzej	
		2024-01-07	Niedziela	Skitury 	105	100	150	170					1132		8,8	Myślenice x 5 	Dzisiaj rano lepiej z kolanem. Dzień odpoczynku pomógł. Na skiturach delikatnie czuję kolano po wewnętrznej stronie, podczas zjazdów nic nie czuję. Jest dużo lepiej niż za pierwszym razem.	
		2024-01-08	Poniedziałek	Siłownia	90	140										Nogi	Dzień po skiturach jest ok, dużo lepiej niż miesiąc temu po Śnieżnicy. Na ćwiczeniach też nieźle, ale nadal jak robię wznoszenie łydek, to czuję po zewnętrznej stronie, więc nie robiłem tego.
		2024-01-10	Środa	Skitury 	185	70	126	164					756		14	Łopata z Szymkiem 	Trochę czuję kolano w całości, lekki ucisk. Nic nie czuję podczas zjeżdżania, zjazd był długi. REHABILITACJA - po niej jest gorzej.	
		2024-01-10	Środa	Siłownia	50	20										Ręce + core		
		2024-01-11	Czwartek	Siłownia	75	80										Nogi	5 x (Suwnica 90-175kg od 30 do 15 powtórzeń, wykroki 10x20kg, krzesełko, łydki na Suwnicy 100-150kg po 15 powtórzeń). Czuję kolano po wewnętrznej stronie cały dzień. Jak robiłem łydki to czułem też od tyłu kolano. REHABILITACJA	
		2024-01-12	Piątek	Pływanie	45	120									1000	Technika + 6 x 25nn + 5x50m max	Szybkie 50tki - po 42-44s. Od rana delikatnie czuję kolano po wewnętrznej stronie	
		2024-01-13	Sobota	Skitury 	180	30							1595		15,6	Spytkowice x 12	Mój trzeci najlepszy czas. Rano z kolanem dobrze. Od trzeciego podejścia delikatnie czuję kolano z tyłu po zewnętrznej stronie. Po wewnętrznej stronie nic nie czuję.	
		2024-01-14	Niedziela	Siłownia	80	80										Nogi	5 x (Suwnica 140/160/170/180/185kg od 20 do 15 powtórzeń, wykroki 10x20kg, krzesełko, łydki na Suwnicy 150kg po 15 powtórzeń). Jak robiłem łydki to czułem od tyłu kolano po zewnętrznej stronie. Dzisiaj po skiturach całkiem nieźle. Na siłowni też lepiej niż ostatnio.	
		2024-01-15	Poniedziałek	Siłownia	80	10										Rehab nogi	Mega mnie boli stopa cały dzień, czuję nerw. Prawdopodobnie po łydkach na suwnicy i mocnym weekendzie. Z kolanem dużo lepiej, zwłaszcza po takim weekendzie.
		2024-01-16	Wtorek 	Siłownia	70	30										Nogi + ręce + core 	Dzisiaj lepiej ze stopą. 5 x (Suwnica 150/175/185/185/185kg od 20 do 15 powtórzeń, łydki na Suwnicy 150kg po 15 powtórzeń). Jak robiłem łydki to czułem od tyłu kolano po zewnętrznej stronie.	
		2024-01-17	Środa	Siłownia	60											Nogi + ręce	Czuję stopę od rana, nerw. Bieganie 15min: nachylenie 0-8%, tempo 6:00-5:21, 2.5km, 94m up. 4 x (Suwnica 155/165/175/185kg od 20 do 15 powtórzeń, łydki na Suwnicy 145kg po 15 powtórzeń). POPOŁUDNIU INIEKCJA ZE STERYDU W BLIZNE I KWASU HIALURONOWEGO W STAW SKOKOWY 	
		2024-01-19	Piątek	Pływanie	50	120									1200	Technika + 7 x 25nn	Nadal czuję, że Achilles jest trochę spięty. Wczoraj i dziś czuję lekko nerw, tylko po wstaniu z łóżka przez chwilę.	
		2024-01-20	Sobota	Skitury 	165	30	151	181					1540		15,4	Spytkowice x 12	Mój trzeci najlepszy czas. Rano po wstaniu z łóżka delikatnie czuję nerw przez chwilę. z Achillesem lepiej. Na skiturach czuję kolano od tyłu po zewnętrznej stronie, pod koniec już mocno. Wieczorem czuję kolano po wewnętrznej stronie.	
		2024-01-21	Niedziela	Bieganie	30		147	155					305	06:23	4.8	Bieżnia, 25min 8%, @6:30 + 5min@5:10	Po 10min zaczynam czuć kolano po wewnętrznej stronie, ostatnie 5min po płaskim prawie nie czuję kolana. 	
		2024-01-21	Niedziela	Siłownia	45	80										Nogi	Dzisiaj po skiturach czuję kolano po wewnętrznej stronie. Czuję rano nerw w stopie. 5 x (Suwnica 160/170/180/190/190kg 15 powtórzeń, łydki na Suwnicy 135kg po 15 powtórzeń). Jak robiłem łydki to czułem od tyłu kolano po zewnętrznej stronie.  Wieczorem jest MEGA ŹLE ZE STOPĄ, bardzo mocno czuję nerw, nie mogę chodzić, nigdy nie było tak źle.	
		2024-01-22	Poniedziałek	Siłownia	60	25										Ręce + core	Rano lekko czuję nerw, jest dużo lepiej ze stopą. Czuję lekki ucisk kolana.
		2024-01-23	Wtorek	Bieganie	40	60	160	171					421	05:58	6.7	Bieżnia, 30min 9%, @6:15 + 10min@5:10	Nie czuję kolana podczas biegania, lekko czuję nerw od rana, REHABILITACJA - stopa, wieczorem jest słabo - mocno czuję nerw 	
		2024-01-24	Środa	Siłownia	65	90										Nogi	Cały dzień czuję nerw, ale mniej niż wczoraj. Po siłowni jest ok, wieczorem nawet lepiej. 5 x (Suwnica 170/180/190/200/200kg 10-15 powtórzeń, lewy pośladek - 2 ćwiczenia, łydki na Suwnicy 130kg po 15 powtórzeń). Jak robiłem łydki to czułem od tyłu kolano po zewnętrznej stronie.  	
